PLU ID,PLU Code,Food ID
0,﻿PLU,0
1,4514,1
2,4924,2
3,4925,2
4,3064,3
5,3463,4
6,3338,5
7,4860,6
8,3000,7
9,3001,7
10,3002,7
11,3003,7
12,3004,7
13,3005,7
14,3006,7
15,3007,7
16,3008,7
17,3009,7
18,3010,7
19,3011,7
20,3065,7
21,3066,7
22,3067,7
23,3068,7
24,3069,7
25,3070,7
26,3071,7
27,3072,7
28,3073,7
29,3074,7
30,3075,7
31,3076,7
32,3077,7
33,3078,7
34,3104,7
35,3271,7
36,3272,7
37,3283,7
38,3284,7
39,3285,7
40,3290,7
41,3291,7
42,3292,7
43,3293,7
44,3294,7
45,3295,7
46,3296,7
47,3297,7
48,3298,7
49,3299,7
50,3300,7
51,3301,7
52,3315,7
53,3339,7
54,3340,7
55,3341,7
56,3342,7
57,3343,7
58,3344,7
59,3345,7
60,3346,7
61,3347,7
62,3348,7
63,3349,7
64,3350,7
65,3351,7
66,3352,7
67,3353,7
68,3435,7
69,3438,7
70,3442,7
71,3443,7
72,3444,7
73,3445,7
74,3447,7
75,3460,7
76,3461,7
77,3467,7
78,3468,7
79,3484,7
80,3486,7
81,3487,7
82,3490,7
83,3507,7
84,3510,7
85,3511,7
86,3513,7
87,3514,7
88,3515,7
89,3516,7
90,3519,7
91,3521,7
92,3523,7
93,3525,7
94,3526,7
95,3527,7
96,3528,7
97,3529,7
98,3537,7
99,3538,7
100,3539,7
101,3540,7
102,3541,7
103,3542,7
104,3600,7
105,3601,7
106,3602,7
107,3603,7
108,3604,7
109,3605,7
110,3607,7
111,3608,7
112,3612,7
113,3613,7
114,3615,7
115,3616,7
116,3618,7
117,3619,7
118,3620,7
119,3625,7
120,3627,7
121,3628,7
122,3629,7
123,3630,7
124,4015,7
125,4016,7
126,4017,7
127,4018,7
128,4019,7
129,4020,7
130,4021,7
131,4057,7
132,4058,7
133,4096,7
134,4097,7
135,4098,7
136,4099,7
137,4100,7
138,4101,7
139,4102,7
140,4103,7
141,4104,7
142,4105,7
143,4106,7
144,4107,7
145,4108,7
146,4109,7
147,4110,7
148,4111,7
149,4112,7
150,4113,7
151,4114,7
152,4115,7
153,4116,7
154,4117,7
155,4118,7
156,4119,7
157,4120,7
158,4121,7
159,4122,7
160,4123,7
161,4124,7
162,4125,7
163,4126,7
164,4127,7
165,4128,7
166,4129,7
167,4130,7
168,4131,7
169,4132,7
170,4133,7
171,4134,7
172,4135,7
173,4136,7
174,4137,7
175,4138,7
176,4139,7
177,4140,7
178,4141,7
179,4142,7
180,4143,7
181,4144,7
182,4145,7
183,4146,7
184,4147,7
185,4148,7
186,4149,7
187,4150,7
188,4151,7
189,4152,7
190,4153,7
191,4154,7
192,4155,7
193,4156,7
194,4157,7
195,4158,7
196,4160,7
197,4162,7
198,4167,7
199,4168,7
200,4169,7
201,4170,7
202,4171,7
203,4172,7
204,4173,7
205,4174,7
206,4176,7
207,4177,7
208,4178,7
209,4179,7
210,4180,7
211,4181,7
212,4182,7
213,4183,7
214,4185,7
215,4187,7
216,4189,7
217,4190,7
218,4191,7
219,4192,7
220,4193,7
221,4194,7
222,4195,7
223,4196,7
224,4197,7
225,4198,7
226,4199,7
227,4200,7
228,4201,7
229,4202,7
230,4203,7
231,4204,7
232,4205,7
233,4206,7
234,4207,7
235,4208,7
236,4209,7
237,4210,7
238,4211,7
239,4212,7
240,4213,7
241,4214,7
242,4215,7
243,4216,7
244,4217,7
245,3044,8
246,3302,8
247,3422,8
248,3614,8
249,4218,8
250,4219,8
251,4861,8
252,3390,9
253,3391,10
254,4084,10
255,4516,10
256,4517,10
257,4518,10
258,4519,10
259,4520,10
260,4762,10
261,4884,11
262,3079,12
263,3392,12
264,3393,12
265,3394,12
266,4080,12
267,4521,12
268,4522,12
269,4523,12
270,4524,12
271,4525,12
272,4526,12
273,4220,13
274,3080,14
275,3354,14
276,3509,14
277,4046,14
278,4221,14
279,4222,14
280,4223,14
281,4224,14
282,4225,14
283,4226,14
284,4227,14
285,4228,14
286,4770,14
287,4771,14
288,3303,15
289,3287,16
290,4011,16
291,4186,16
292,4229,16
293,4230,16
294,4231,16
295,4232,16
296,4233,16
297,4234,16
298,4235,16
299,4236,16
300,4237,16
301,4238,16
302,4885,17
303,4886,17
304,4887,17
305,3062,18
306,4536,19
307,3048,20
308,3049,20
309,4066,20
310,4527,20
311,4528,20
312,4529,20
313,4530,20
314,4531,20
315,4532,20
316,4533,20
317,4534,20
318,4535,20
319,4542,21
320,3273,22
321,4537,22
322,4538,22
323,4539,22
324,4540,22
325,4541,22
326,3395,23
327,4543,23
328,3081,24
329,3304,24
330,3355,24
331,3356,24
332,4028,24
333,4054,24
334,4239,24
335,4240,24
336,4241,24
337,4242,24
338,4243,24
339,4244,24
340,4245,24
341,4246,24
342,4247,24
343,4248,24
344,4249,24
345,4250,24
346,4251,24
347,4252,24
348,4253,24
349,4323,24
350,4783,25
351,3163,26
352,4544,26
353,4545,26
354,4546,27
355,3419,28
356,4926,29
357,4254,30
358,3082,31
359,3277,31
360,4060,31
361,4547,31
362,4548,31
363,4549,31
364,3083,32
365,4550,32
366,4551,32
367,3050,33
368,3051,33
369,3166,33
370,3396,33
371,3397,33
372,4069,33
373,4552,33
374,4554,33
375,4555,33
376,4556,33
377,4557,33
378,3471,34
379,4558,34
380,4255,35
381,4256,36
382,4559,37
383,3424,38
384,4094,38
385,4560,38
386,4561,38
387,4562,38
388,4563,38
389,4564,38
390,4565,38
391,3105,39
392,3320,40
393,3436,40
394,4079,40
395,4566,40
396,4567,40
397,4568,40
398,4569,40
399,4570,40
400,4571,40
401,4572,40
402,4573,40
403,4070,41
404,4071,41
405,4575,41
406,4576,41
407,4577,41
408,4578,41
409,4579,41
410,4580,41
411,4581,41
412,4582,41
413,4583,41
414,3321,42
415,4585,42
416,4586,43
417,4587,43
418,4588,43
419,4257,44
420,3357,45
421,3358,45
422,3448,45
423,4045,45
424,4258,45
425,4259,45
426,3084,46
427,4927,47
428,3398,48
429,3479,49
430,3462,50
431,4888,50
432,3322,51
433,3323,51
434,4889,52
435,4260,53
436,4261,53
437,4262,53
438,3085,54
439,3086,54
440,3087,54
441,4077,54
442,4078,54
443,4589,54
444,4590,54
445,4591,54
446,4062,55
447,4592,55
448,4593,55
449,4594,55
450,4595,55
451,4596,55
452,4597,55
453,3088,56
454,3305,56
455,4598,57
456,3045,58
457,3046,58
458,3047,58
459,4263,58
460,4264,58
461,4862,58
462,4863,58
463,4891,59
464,4892,59
465,4893,59
466,3089,60
467,3090,60
468,4081,60
469,4599,60
470,4600,60
471,4601,60
472,4602,60
473,4603,60
474,4604,61
475,3473,62
476,3324,63
477,4605,63
478,4265,64
479,4515,65
480,3063,66
481,4606,67
482,3337,68
483,4266,68
484,4267,68
485,4268,68
486,4269,68
487,4928,69
488,4460,70
489,4461,70
490,4462,70
491,4463,70
492,4464,70
493,4465,70
494,4466,70
495,4467,70
496,4468,70
497,4469,70
498,3167,71
499,3161,72
500,4607,72
501,3160,73
502,3453,74
503,3052,75
504,3399,75
505,3400,75
506,3401,75
507,4608,75
508,4609,75
509,4610,75
510,4611,75
511,4612,76
512,4613,76
513,3091,77
514,3135,78
515,3092,79
516,3129,79
517,3152,79
518,3157,79
519,3158,79
520,3159,79
521,3361,79
522,4027,79
523,4047,79
524,4279,79
525,4280,79
526,4281,79
527,4282,79
528,4283,79
529,4284,79
530,4285,79
531,4286,79
532,4287,79
533,4288,79
534,4289,79
535,4290,79
536,4291,79
537,4292,79
538,4293,79
539,4294,79
540,4295,79
541,4296,79
542,4297,79
543,4298,79
544,4491,79
545,4492,79
546,4493,79
547,4494,79
548,4495,79
549,4496,79
550,3043,80
551,3093,80
552,3094,80
553,3359,80
554,3360,80
555,3449,80
556,3450,80
557,3451,80
558,3452,80
559,3469,80
560,3491,80
561,3492,80
562,3496,80
563,3497,80
564,3498,80
565,3499,80
566,3500,80
567,3501,80
568,3502,80
569,3503,80
570,3504,80
571,3505,80
572,3506,80
573,3508,80
574,3530,80
575,3531,80
576,3532,80
577,3533,80
578,3534,80
579,4022,80
580,4023,80
581,4056,80
582,4270,80
583,4271,80
584,4272,80
585,4273,80
586,4274,80
587,4275,80
588,4276,80
589,4277,80
590,4278,80
591,4497,80
592,4498,80
593,4499,80
594,4635,80
595,4636,80
596,4637,80
597,4638,80
598,4957,80
599,4614,81
600,4615,81
601,4616,81
602,4617,81
603,4618,81
604,4619,81
605,4620,81
606,4621,81
607,4622,81
608,4623,81
609,4624,81
610,4299,82
611,4300,83
612,4625,84
613,3454,85
614,3455,85
615,4626,86
616,3095,87
617,4627,87
618,3446,88
619,4302,89
620,3279,90
621,3280,90
622,3517,90
623,4030,90
624,4301,90
625,3096,91
626,4628,91
627,4303,92
628,3402,93
629,3403,93
630,4629,93
631,4630,93
632,4894,94
633,3362,95
634,3617,95
635,3626,95
636,4033,95
637,4053,95
638,4304,95
639,4958,95
640,3097,96
641,3098,96
642,3169,96
643,3325,96
644,3326,96
645,3327,96
646,3328,96
647,3329,96
648,3330,96
649,4061,96
650,4075,96
651,4076,96
652,4631,96
653,4632,96
654,4633,96
655,4634,96
656,4639,96
657,4640,96
658,4641,96
659,4642,96
660,4643,96
661,4328,97
662,4048,98
663,4305,98
664,4306,98
665,4307,99
666,4308,100
667,3099,101
668,4309,102
669,3106,103
670,3366,104
671,4644,105
672,4310,106
673,3114,107
674,3363,107
675,3364,107
676,3365,107
677,3464,107
678,3488,107
679,3621,107
680,4051,107
681,4311,107
682,4312,107
683,4313,107
684,4314,107
685,4315,107
686,4316,107
687,4584,107
688,4959,107
689,4961,107
690,3042,108
691,4895,109
692,3033,110
693,3034,110
694,3100,110
695,3101,110
696,3281,110
697,3289,110
698,3306,110
699,3307,110
700,3308,110
701,3367,110
702,3368,110
703,3421,110
704,3456,110
705,3470,110
706,3494,110
707,3622,110
708,3623,110
709,3624,110
710,4031,110
711,4032,110
712,4034,110
713,4049,110
714,4050,110
715,4317,110
716,4318,110
717,4319,110
718,4320,110
719,4321,110
