Food ID,Food Name,Expiration Pantry,Expiration Fridge,Expiration Freezer
139,PEPPERS (CAPSICUMS),0.0,0.0,0.0
140,PERSIMMON,0.0,0.0,0.0
141,PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY,0.0,0.0,0.0
142,PINE NUTS (PIGNOLI),0.0,0.0,0.0
143,PINEAPPLE,1.0,4.0,330.0
144,PISTACHIO,0.0,0.0,0.0
145,PITAHAYA,0.0,0.0,0.0
146,PLUMCOT (INTERSPECIFIC PLUM),0.0,0.0,0.0
147,PLUMS,2.0,4.0,330.0
148,POMEGRANATE,0.0,0.0,0.0
149,POTATO,7.0,21.0,330.0
150,PRUNES,0.0,0.0,0.0
151,PUMPKIN,30.0,,330.0
152,PUMPKIN VINE,0.0,0.0,0.0
153,PURPLE HERB,0.0,0.0,0.0
154,QUELITES,0.0,0.0,0.0
155,QUINCE,0.0,0.0,0.0
156,RABBIT HERB,0.0,0.0,0.0
157,RADICCHIO,,4.0,
158,RADISH,,12.0,
159,RAISINS,0.0,0.0,0.0
160,RAMBUTAN,0.0,0.0,0.0
161,RHUBARB,,6.0,330.0
162,ROSEMARY,0.0,0.0,0.0
163,RUTABAGAS (SWEDE),0.0,0.0,0.0
164,SACRED PEPPER,0.0,0.0,0.0
165,SAGE,0.0,0.0,0.0
166,SALAD BAR,0.0,0.0,0.0
167,SAPODILLO/NISPERO,0.0,0.0,0.0
168,SAPOTE,0.0,0.0,0.0
169,SAVORY,0.0,0.0,0.0
170,SORREL,,1.0,330.0
171,SOURSOP,0.0,0.0,0.0
172,SPINACH,,6.0,330.0
173,SQUASH,30.0,,330.0
174,SUGAR APPLE,0.0,0.0,0.0
175,SUGAR CANE,0.0,0.0,0.0
176,SUNCHOKES (JERUSALEM ARTICHOKES),0.0,0.0,0.0
177,SUNFLOWER SEEDS,0.0,0.0,0.0
178,SWEET POTATO/YAM/KUMARA,0.0,0.0,0.0
179,TAMARILLO,0.0,0.0,0.0
180,TAMARIND,0.0,0.0,0.0
181,TANGELO,0.0,0.0,0.0
182,TANGERINES/MANDARINS,0.0,0.0,0.0
183,TARO ROOT (DASHEEN),0.0,0.0,0.0
184,TARRAGON,0.0,0.0,0.0
185,THYME,0.0,0.0,0.0
186,TOMATOES,0.0,0.0,0.0
187,TURNIP,,14.0,270.0
188,VANILLA BEAN,0.0,0.0,0.0
189,WALNUTS,0.0,0.0,0.0
190,WATER CHESTNUTS,,8.0,
191,WATERCRESS,,2.0,
192,XPELON,0.0,0.0,0.0
193,YU CHOY,0.0,0.0,0.0
194,YUCA ROOT/CASSAVA/MANIOC,0.0,0.0,0.0
