Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
"DIET DRINK MIX, DRY, POWDERED, COMMERCIALLY PACKAGED — OPENED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17092,,,450
"DIET DRINK MIX, DRY, POWDERED, COMMERCIALLY PACKAGED — UNOPENED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17093,,,1095
"DIET SODA / SOFT DRINKS / POP (INCLUDING DIET COLA,  GINGER ALE, ROOT BEER), COMMERCIALLY CANNED OR BOTTLED — OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17094,2,,
"DIET SODA / SOFT DRINKS / POP (INCLUDING DIET COLA,  GINGER ALE, ROOT BEER), COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17095,120,,120
"ENERGY DRINKS, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19064,3,,
"ENERGY DRINKS, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19065,,,210
"FLAVORED WATER, COMMERCIALLY BOTTLED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19059,4,,
"FLAVORED WATER, COMMERCIALLY BOTTLED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19058,,,210
"GIN, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17260,,,
"GRAPPA, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17315,,,
"GRENADINE, COMMERCIALLY BOTTLED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/17340,150,,
"GRENADINE, COMMERCIALLY BOTTLED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/17341,,,730
"HAZELNUT LIQUEUR, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17399,,,
