Label,Link,Fridge,Freezer,Pantry
"CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER — OPENED",https://www.stilltasty.com/Fooditems/index/17006,8,300,
CRANBERRY SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/17008,12,30,
"CRANBERRY SAUCE, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/17009,12,30,
"CRANBERRY SAUCE, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17010,,,630
"CRENSHAW MELONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17051,8,330,3
"CRENSHAW MELONS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17050,4,330,
"CURRANTS (RED, BLACK OR WHITE) — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17065,1,330,
"CURRANTS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18828,270,450,270
DATES - OPENED OR UNOPENED PACKAGE,https://www.stilltasty.com/Fooditems/index/17076,365,365,30
DRIED PLUMS (PRUNES) - UNOPENED OR OPENED BAG,https://www.stilltasty.com/Fooditems/index/18840,270,450,270
"ELDERBERRIES — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17151,2,330,
"FEIJOA - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17169,1,330,2
"FIGS — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17183,1,330,
FIGS — STEWED,https://www.stilltasty.com/Fooditems/index/17184,3,,
"FIGS, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/17185,,,360
"FIGS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18829,270,450,270
"FRUIT COCKTAIL /SALAD /MIXED FRUIT, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17226,6,30,
"FRUIT COCKTAIL /SALAD /MIXED FRUIT, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17227,,,630
